UID,SUMMARY,START,END,SALLES
ADE6050726f6a65745f323032332d323032342d37363534392d302d33,PFT1 Filière Fruits Légumes,20240315T143000Z,20240315T163000Z,S04
ADE6050726f6a65745f323032332d323032342d3132333234322d302d31,Sociologie,20240311T123000Z,20240311T140000Z,Multimédia
ADE6050726f6a65745f323032332d323032342d3132323937312d352d30,Ppp,20240315T140000Z,20240315T153000Z,Multimédia
ADE6050726f6a65745f323032332d323032342d39323036342d302d30,R208 Stat. descriptives (G2),20240311T124500Z,20240311T144500Z,IN0.09
ADE6050726f6a65745f323032332d323032342d3131363137362d302d3139,R512 Géométrie (M),20240311T144500Z,20240311T164500Z,IN0.09
ADE6050726f6a65745f323032332d323032342d39303039302d302d30,SAE 2.2 - Analyse statistique TP Capteurs - TD - S2-B,20240315T124500Z,20240315T141500Z,S16-TD info
ADE6050726f6a65745f323032332d323032342d3131363138362d302d30,R514 Anglais (DS M),20240311T073000Z,20240311T093000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d39343930342d302d31,R4A11 Dev mobile (G1.2),20240313T073000Z,20240313T113000Z,IN1.09
ADE6050726f6a65745f323032332d323032342d35383032362d302d36,maths financieres,20240312T070000Z,20240312T083000Z,EX-001
ADE6050726f6a65745f323032332d323032342d37333834362d302d32,Filière lait,20240312T070000Z,20240312T083000Z,Amphithéâtre Bresse-Revermont
ADE6050726f6a65745f323032332d323032342d39383538302d302d30,SAE 4.2 - Microbiologie\  Produits laitiers - TP J2 - S4-A,20240313T144500Z,20240313T164500Z,S16-TD info\ Microbio 1\ Microbio 2
ADE6050726f6a65745f323032332d323032342d38373333392d302d35,R404 Meth. d'opt (G2),20240315T073000Z,20240315T093000Z,IN0.09
ADE6050726f6a65745f323032332d323032342d36363039332d302d31,Hygiène de l'environnement de production - TD - S4-A,20240311T150000Z,20240311T163000Z,S16-TD info
ADE6050726f6a65745f323032332d323032342d39383431352d302d31,SAE 4.2 - TP Lait - S4-B,20240315T123000Z,20240315T170000Z,S17\ Bioch 2
ADE6050726f6a65745f323032332d323032342d35373837362d302d33,SAé 4.03 Réal TPC,20240313T124500Z,20240313T144500Z,GT1.06
ADE6050726f6a65745f323032332d323032342d32353632352d302d30,Anglais - TP - S2-A1,20240312T144500Z,20240312T161500Z,S05
ADE6050726f6a65745f323032332d323032342d36323039372d302d35,SAé 4.01 Autonomie TPB,20240311T093000Z,20240311T113000Z,GT1.10
ADE6050726f6a65745f323032332d323032342d38373836342d302d30,R202 IHM (G1.1),20240312T073000Z,20240312T113000Z,IN1.09
ADE6050726f6a65745f323032332d323032342d38323333372d302d30,R4A08 Virtualisation (DS),20240314T100000Z,20240314T110000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d39373536392d362d30,communication,20240311T100000Z,20240311T113000Z,EX-001
ADE6050726f6a65745f323032332d323032342d39373536342d302d36,fiscalité,20240313T083000Z,20240313T100000Z,EX-001
ADE6050726f6a65745f323032332d323032342d34393533352d302d30,Thermodynamique DS,20240311T073000Z,20240311T093000Z,Amphithéâtre La Dombes
ADE6050726f6a65745f323032332d323032342d3133363436372d302d30,SAÉ S5 (soutenances M),20240313T073000Z,20240313T081500Z,IN0.08
ADE6050726f6a65745f323032332d323032342d37363534392d302d30,PFT1 Filière Fruits Légumes,20240315T071500Z,20240315T091500Z,S04
ADE6050726f6a65745f323032332d323032342d37343739332d302d30,Bois énergie TD2,20240312T144500Z,20240312T164500Z,GT0.07
ADE6050726f6a65745f323032332d323032342d39363630382d312d30,Thermo 1 (calorimétrie\  principe 1) - TD - S2-B,20240315T101500Z,20240315T114500Z,S03
ADE6050726f6a65745f323032332d323032342d38333632302d312d30,améthodes d'enquete,20240311T140000Z,20240311T153000Z,IN0.04
ADE6050726f6a65745f323032332d323032342d34313031362d302d38,Mineure disciplinaire,20240314T071500Z,20240314T171500Z,EX-103\ EX-104
ADE6050726f6a65745f323032332d323032342d33313033372d302d36,économie,20240314T100000Z,20240314T113000Z,EX-001
ADE6050726f6a65745f323032332d323032342d3133363430392d302d30,SAÉ S5 (soutenances M),20240313T090000Z,20240313T113000Z,IN0.08
ADE6050726f6a65745f323032332d323032342d3130323237342d302d37,Saé 2.02 TPD Autonomie,20240314T073000Z,20240314T093000Z,GT1.10
ADE6050726f6a65745f323032332d323032342d39323036332d312d30,R208 Stat. descriptives (G1),20240311T073000Z,20240311T093000Z,IN0.07
ADE6050726f6a65745f323032332d323032342d37363239322d302d31,GIA TP atomisation,20240314T123000Z,20240314T163000Z,salle 1-mécaflu
ADE6050726f6a65745f323032332d323032342d36323135392d302d30,SAé 4.01 Info TD2,20240315T073000Z,20240315T093000Z,GT109a\ GT109b
ADE6050726f6a65745f323032332d323032342d37343738342d302d30,TP sérotypage - S2-B2,20240314T084500Z,20240314T104500Z,Microbio 1
ADE6050726f6a65745f323032332d323032342d32333632392d352d30,mathématiques,20240313T123000Z,20240313T140000Z,EX-001
ADE6050726f6a65745f323032332d323032342d34393536392d302d33,Hydraulique et aéraulique TD1,20240311T144500Z,20240311T164500Z,GT0.01
ADE6050726f6a65745f323032332d323032342d31393138382d302d30,TP mix TPB,20240314T073000Z,20240314T113000Z,Halle BERNOULLI-1
ADE6050726f6a65745f323032332d323032342d3131363139302d302d33,R505 Flutter,20240315T124500Z,20240315T164500Z,IN2.02
ADE6050726f6a65745f323032332d323032342d38393735382d342d30,SAé 4.03 Réal autonomie TPC,20240314T093000Z,20240314T113000Z,GT1.11
ADE6050726f6a65745f323032332d323032342d39393033372d302d30,Thermique du bâtiment éval TPA,20240313T073000Z,20240313T113000Z,GT109a
